filing_year,Tier 1,Tier 2,Tier 3,Tier 4
2007,,,,
2008,,,,
2009,,,,
2010,2.3,2.2,2.0,1.5
2011,1.1341666666666668,0.9527314814814815,0.7991346153846154,0.6696825396825397
2012,1.1148684210526316,0.895940170940171,0.7130188679245283,0.6939682539682539
2013,1.4596638655462184,1.2266129032258064,1.0275,0.9948051948051947
2014,1.1810679611650485,0.9945238095238095,0.8085789473684211,0.8089999999999999
2015,1.1196315789473683,0.9222499999999999,0.7529651162790697,0.6813392857142857
2016,1.1737864077669904,0.9834313725490196,0.8462234042553192,0.7949999999999999
2017,1.1929924242424241,1.0052573529411766,0.8642460317460318,0.8210714285714286
2018,1.3027391304347826,1.098781512605042,0.9943627450980392,1.0282191780821919
