File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,adviser_id1,adviser_id2,sequence_num,filing_date,Annual fee threshold 1_clean,Annual fee threshold 1_lower_bound,Annual fee threshold 1_upper_bound,Annual fee threshold 1_fee_pct,Annual fee Threshold 2_clean,Annual fee Threshold 2_lower_bound,Annual fee Threshold 2_upper_bound,Annual fee Threshold 2_fee_pct,Annual fee Threshold 3_clean,Annual fee Threshold 3_lower_bound,Annual fee Threshold 3_upper_bound,Annual fee Threshold 3_fee_pct,Annual fee Threshold 4_clean,Annual fee Threshold 4_lower_bound,Annual fee Threshold 4_upper_bound,Annual fee Threshold 4_fee_pct,Annual fee Threshold 5_clean,Annual fee Threshold 5_lower_bound,Annual fee Threshold 5_upper_bound,Annual fee Threshold 5_fee_pct,Annual fee Threshold 6_clean,Annual fee Threshold 6_lower_bound,Annual fee Threshold 6_upper_bound,Annual fee Threshold 6_fee_pct,Annual fee Threshold 7_clean,Annual fee Threshold 7_lower_bound,Annual fee Threshold 7_upper_bound,Annual fee Threshold 7_fee_pct,Annual fee Threshold 8_clean,Annual fee Threshold 8_lower_bound,Annual fee Threshold 8_upper_bound,Annual fee Threshold 8_fee_pct,Negotiable threshold (Number/ N/A)_clean,Negotiable threshold (Number/ N/A)_lower_bound,Negotiable threshold (Number/ N/A)_upper_bound,Negotiable threshold (Number/ N/A)_fee_pct,flat_fee_clean,has_flat_fee,min_investment_clean,has_min_investment,negotiable_clean,negotiable_threshold_clean,fee_structure_type,fee_tier_count,potential_multiple_products,filing_year
formadv_part2_1_extracted\10046_47037_1_20110331_fees_section.txt.txt,No,"$0 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]","$0 - $10,000,000 (0.90%) [VERIFIED]","$10,000,001 - $15,000,000 (0.80%) [VERIFIED]","$15,000,001 - $20,000,000 (0.60%) [VERIFIED]","$20,000,001+ (0.50%) [VERIFIED]",$0+ (1.00%) [VERIFIED],,N/a,Yes,No,"2,3,4,5,6,7,8",8,0,39,4820,10046,47037,1,2011-03-31,$0 - $10000000 (0.60%),0.0,10000000.0,0.6,,,,,$0 - $10000000 (0.90%),0.0,10000000.0,0.9,$10000001 - $15000000 (0.80%),10000001.0,15000000.0,0.8,$15000001 - $20000000 (0.60%),15000001.0,20000000.0,0.6,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2011
formadv_part2_1_extracted\10046_47037_2_20120221_fees_section.txt.txt,No,"$0 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]","$0 - $10,000,000 (0.90%) [VERIFIED]","$10,000,001 - $15,000,000 (0.80%) [VERIFIED]","$15,000,001 - $20,000,000 (0.60%) [VERIFIED]","$20,000,001+ (0.50%) [VERIFIED]",,,No,Yes,No,"2,3,4,5,6,7",8,0,39,4820,10046,47037,2,2012-02-21,$0 - $10000000 (0.60%),0.0,10000000.0,0.6,,,,,$0 - $10000000 (0.90%),0.0,10000000.0,0.9,$10000001 - $15000000 (0.80%),10000001.0,15000000.0,0.8,$15000001 - $20000000 (0.60%),15000001.0,20000000.0,0.6,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2012
formadv_part2_1_extracted\10046_47037_3_20140908_fees_section.txt.txt,No,"$0 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]","$0 - $10,000,000 (0.90%) [VERIFIED]","$10,000,001 - $15,000,000 (0.80%) [VERIFIED]","$15,000,001 - $20,000,000 (0.60%) [VERIFIED]","$20,000,001+ (0.50%) [VERIFIED]",$0+ (1.00%) [VERIFIED],,N/a,Yes,No,"2,3,4,5,6,7,8",8,0,39,4820,10046,47037,3,2014-09-08,$0 - $10000000 (0.60%),0.0,10000000.0,0.6,,,,,$0 - $10000000 (0.90%),0.0,10000000.0,0.9,$10000001 - $15000000 (0.80%),10000001.0,15000000.0,0.8,$15000001 - $20000000 (0.60%),15000001.0,20000000.0,0.6,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2014
formadv_part2_1_extracted\10046_47037_4_20150921_fees_section.txt.txt,No,"$1 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]","$1 - $10,000,000 (0.90%) [VERIFIED]","$10,000,001 - $15,000,000 (0.80%) [VERIFIED]","$15,000,001 - $20,000,000 (0.60%) [VERIFIED]","$20,000,001+ (0.50%) [VERIFIED]",,,No,Yes,No,"2,3,4,5,6,7",8,0,39,4820,10046,47037,4,2015-09-21,$1 - $10000000 (0.60%),1.0,10000000.0,0.6,,,,,$1 - $10000000 (0.90%),1.0,10000000.0,0.9,$10000001 - $15000000 (0.80%),10000001.0,15000000.0,0.8,$15000001 - $20000000 (0.60%),15000001.0,20000000.0,0.6,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2015
formadv_part2_1_extracted\10046_47037_5_20161102_fees_section.txt.txt,No,"$0 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]","$0 - $10,000,000 (0.90%) [VERIFIED]","$10,000,001 - $15,000,000 (0.80%) [VERIFIED]","$15,000,001 - $20,000,000 (0.60%) [VERIFIED]","$20,000,001+ (0.50%) [VERIFIED]",$0+ (1.00%) [VERIFIED],,No,Yes,No,"2,3,4,5,6,7,8",8,0,39,4822,10046,47037,5,2016-11-02,$0 - $10000000 (0.60%),0.0,10000000.0,0.6,,,,,$0 - $10000000 (0.90%),0.0,10000000.0,0.9,$10000001 - $15000000 (0.80%),10000001.0,15000000.0,0.8,$15000001 - $20000000 (0.60%),15000001.0,20000000.0,0.6,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2016
formadv_part2_1_extracted\10046_47037_6_20170929_fees_section.txt.txt,No,"$0 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]","$0 - $10,000,000 (0.90%) [VERIFIED]","$10,000,001 - $15,000,000 (0.80%) [VERIFIED]","$15,000,001 - $20,000,000 (0.60%) [VERIFIED]","$20,000,001+ (0.50%) [VERIFIED]",$0+ (1.00%) [VERIFIED],,N/a,Yes,No,"2,3,4,5,6,7,8",8,0,39,4852,10046,47037,6,2017-09-29,$0 - $10000000 (0.60%),0.0,10000000.0,0.6,,,,,$0 - $10000000 (0.90%),0.0,10000000.0,0.9,$10000001 - $15000000 (0.80%),10000001.0,15000000.0,0.8,$15000001 - $20000000 (0.60%),15000001.0,20000000.0,0.6,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2017
formadv_part2_1_extracted\10046_47037_7_20180921_fees_section.txt.txt,No,"$0 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]","$0 - $10,000,000 (0.90%) [VERIFIED]","$10,000,001 - $15,000,000 (0.80%) [VERIFIED]","$15,000,001 - $20,000,000 (0.60%) [VERIFIED]","$20,000,001+ (0.50%) [VERIFIED]",$0+ (1.00%) [VERIFIED],,N/a,Yes,No,"2,3,4,5,6,7,8",8,0,40,4998,10046,47037,7,2018-09-21,$0 - $10000000 (0.60%),0.0,10000000.0,0.6,,,,,$0 - $10000000 (0.90%),0.0,10000000.0,0.9,$10000001 - $15000000 (0.80%),10000001.0,15000000.0,0.8,$15000001 - $20000000 (0.60%),15000001.0,20000000.0,0.6,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2018
formadv_part2_1_extracted\10091_49431_11_20170227_fees_section.txt.txt,No,"$0 - $249,999 (1.50%) [VERIFIED]","$250,000 - $499,999 (0.90%) [VERIFIED]","$500,000 - $999,999 (0.75%) [VERIFIED]","$1,000,000+ (0.60%) [VERIFIED]",,,,,No,Yes,No,"2,3,4,5",6,8,44,6669,10091,49431,11,2017-02-27,$0 - $249999 (1.50%),0.0,249999.0,1.5,$250000 - $499999 (0.90%),250000.0,499999.0,0.9,$500000 - $999999 (0.75%),500000.0,999999.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,3,False,2017
formadv_part2_1_extracted\10091_59531_13_20170413_fees_section.txt.txt,No,"$0 - $249,999 (1.00%) [VERIFIED]","$250,000 - $499,999 (0.90%) [VERIFIED]","$500,000 - $999,999 (0.75%) [VERIFIED]","$1,000,000 - $10,000,000 (0.60%) [VERIFIED]",,,,,No,Yes,No,"2,3,4,5",4,10,37,3985,10091,59531,13,2017-04-13,$0 - $249999 (1.00%),0.0,249999.0,1.0,$250000 - $499999 (0.90%),250000.0,499999.0,0.9,$500000 - $999999 (0.75%),500000.0,999999.0,0.75,$1000000 - $10000000 (0.60%),1000000.0,10000000.0,0.6,,,,,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2017
formadv_part2_1_extracted\10091_59531_14_20170519_fees_section.txt.txt,No,"$0 - $249,999 (1.00%) [VERIFIED]","$250,000 - $499,999 (0.90%) [VERIFIED]","$500,000 - $999,999 (0.75%) [VERIFIED]","$1,000,000 - $10,000,000 (0.60%) [VERIFIED]",,,,,No,Yes,No,"2,3,4,5",4,10,37,3985,10091,59531,14,2017-05-19,$0 - $249999 (1.00%),0.0,249999.0,1.0,$250000 - $499999 (0.90%),250000.0,499999.0,0.9,$500000 - $999999 (0.75%),500000.0,999999.0,0.75,$1000000 - $10000000 (0.60%),1000000.0,10000000.0,0.6,,,,,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2017
