adviser_id1,adviser_id2,filing_date,filing_year,has_flat_fee,flat_fee_value,product_count,contract_type,effective_fee_1M,effective_fee_5M,has_min_investment,min_investment_amount,is_negotiable,has_negotiable_threshold,negotiable_threshold_amount
10046,47037,2011-03-31,2011,0,,3,AUM-Based Only,1.90207117520886,0.3270385306626044,0,,1,0,
10046,47037,2012-02-21,2012,0,,2,AUM-Based Only,0.552199097700592,0.7545684851943505,0,,1,0,
10046,47037,2014-09-08,2014,0,,3,AUM-Based Only,0.6568567266555826,1.0929723285221131,0,,1,0,
10046,47037,2015-09-21,2015,0,,2,AUM-Based Only,0.8821600405147443,0.8918408075403244,0,,1,0,
10046,47037,2016-11-02,2016,0,,3,AUM-Based Only,0.694362862829764,1.4971865403360374,0,,1,0,
10046,47037,2017-09-29,2017,0,,3,AUM-Based Only,1.1261686798335449,0.7961963155212942,0,,1,0,
10046,47037,2018-09-21,2018,0,,3,AUM-Based Only,1.3045726559396034,0.4691860630931119,0,,1,0,
10091,49431,2017-02-27,2017,0,,3,AUM-Based Only,1.7669986045192183,1.1716138529301725,0,,1,0,
10091,59531,2017-04-13,2017,0,,3,AUM-Based Only,1.9015642287784176,0.409518018592887,0,,1,0,
10091,59531,2017-05-19,2017,0,,3,AUM-Based Only,0.7917014664723124,0.3368375297535348,0,,1,0,
10091,59531,2018-03-16,2018,0,,3,AUM-Based Only,1.4477084161130649,0.8442777088877804,0,,1,0,
100,110665,2014-03-06,2014,0,,1,AUM-Based Only,1.3502092215043056,1.3884120514456832,1,100000.0,1,1,10000.0
100,143018,2015-03-30,2015,0,,1,AUM-Based Only,0.5729611655765761,1.2060238715311749,1,100000.0,1,1,10000.0
100,244077,2015-09-02,2015,0,,1,AUM-Based Only,0.5541999083652349,0.7375450143869346,1,100000.0,1,1,10000.0
100,250921,2016-03-07,2016,0,,2,AUM-Based Only,1.7243006718918283,0.3893888737066697,0,,1,1,10000.0
